"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"CXCL5",0.00647954234344488,0.0172152735158218,0.0482881440503228
"TOPBP1",0.00367129186431657,0.00618953399865941,0.0318041438205418
"KIF15",8.6581199344736e-11,2.40755598426603e-09,5.47646198640271e-05
"CDCP1",0.000225038626653342,0.000374272744301322,4.17753760694489e-05
"POLR2H",0.00106710677330077,0.00321376796134539,0.00557956036831171
"RFC4",1.13122445108122e-05,3.18703193416238e-05,0.00288950555433214
"SFMBT1",1.51547011652341e-06,5.80835937318213e-06,0.000310460476215414
"H2AZ1",7.46142136769219e-06,2.50479838079501e-05,0.000680266981918166
"CDC25A",1.90073628598997e-07,2.01570322579823e-06,5.14531696974291e-05
"CCDC51",0.000101668839206953,0.000465064760008166,0.00394829890668811
"POC1A",8.2815974608493e-08,1.31270825680877e-06,2.33021143630603e-05
"MAD2L1",2.0601784310989e-09,6.40762853535979e-08,0.000347207855644616
"FHIP1A",0.00407611935253378,0.00660208272878107,0.000648503542282041
"SFXN1",0.00723326543066528,0.0118499133742823,0.0239568340936462
"MATCAP2",3.48186131427542e-06,1.20668831205497e-05,6.54490325586621e-05
"PTTG1",1.83180995821556e-10,3.9274224297148e-09,4.08743140913247e-05
"CHMP4C",3.84402422611764e-05,0.000122458871869047,0.000177328036554253
"LMTK2",0.00595756633603309,0.0123639774163774,0.0128650005525063
"RAD21",0.00103789427292291,0.00294613631998363,0.0122929874742422
"DNAAF5",0.00983113481266684,0.0199485093494334,0.0321257657437283
"CDK5",0.00873996624422844,0.0240823174492047,0.018997958768945
"COX6C",0.00191014481839043,0.00420696255344606,0.0330599362867986
"FZD6",0.00508188911679669,0.0110974193961779,0.0329019402432122
"KIAA1958",0.000682166440284726,0.00212888788306648,0.00982274193811787
"STRBP",0.00397562354442268,0.00731617184670387,0.0230269435448115
"ZNF367",6.42579724805335e-06,2.09661321332158e-05,0.000880987662956336
"MELK",1.96337205957621e-07,1.41597638981639e-06,6.79347510050736e-05
"ARMC3",1.1887692653389e-08,7.9716584576067e-07,0.0134087423414571
"SKA3",6.54485138099703e-07,5.01265093051042e-06,0.000242314850543187
"DDIAS",6.72077271666932e-05,0.000362093877163211,0.00413291838302585
"CDX2",0.000550594218499138,0.00127897381373418,0.0165966656917222
"FAAH2",5.61061878847562e-07,3.71180371789462e-06,0.000128643879053251
"HPRT1",0.00720776984461265,0.0127874828350915,0.0275210221718951
"VWA2",0.000346068728000181,0.00084982845809158,0.0189702981910325
"E2F7",3.31716374112233e-12,1.86588601221327e-10,1.0588681575229e-05
"LARGE2",6.08942650821869e-06,2.97886630886487e-05,0.000603042052448131
"SMCO2",0.000654990343793886,0.00106797061356067,0.00479443219788796
"SPINT1",0.0238978191219211,0.0308078883003989,0.00229111689637304
"SGPL1",1.18680509399387e-05,0.000119622044904936,0.00049795697337802
"USP54",0.000289166499173441,0.000489498480175955,0.0197715871653327
"CENPN",0.0213286198534049,0.0367195665674946,0.0326018359874146
"MCM7",6.78951260928872e-07,2.95690445631766e-06,0.000114154524341006
"TMED3",0.0293280951244086,0.0461333994968017,0.044751293279851
"IQCD",0.000572187973876266,0.00177873312115433,0.0198072966931106
