"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"ETS1",0.0171730274817181,0.0191368152292035,0.0158240291170396
"CCDC146",0.0257043250994182,0.0254660163411873,0.0179902511173037
"CD36",0.00184296224001126,0.00354803492962409,0.000348210376836994
"MDFIC",0.0149679204880012,0.0158812982546935,0.0204719258791781
"ITGA7",1.30345314775463e-09,5.75972425412562e-09,6.6304522989808e-06
"RDH5",0.0049307713368532,0.00627625340901539,0.0219455521750668
"PPP1R1A",1.59561390189639e-11,3.22491388624396e-09,0.00102262438892042
"FAIM2",2.73290223939562e-05,7.163912431981e-05,0.00144178150852731
"HEY2",0.00659308212178577,0.00866680362420878,0.010603889991507
"STX11",0.00466101419248615,0.00671689291119784,0.00281422130601311
"CCDC102A",0.0115221894009726,0.0180504546758772,0.0185617772565001
"GLUL",0.0198574394729914,0.0245191063360873,0.00883807831672373
"NIBAN1",7.03130815250769e-10,5.83509897796846e-09,1.03635616423822e-05
"LAMC1",0.000762975523067965,0.00138386073432409,0.00392456689029495
"SERPINE2",0.000569109257663925,0.000884521348773691,0.00692387274601675
"ISCU",0.00516738258430374,0.00572645760964424,0.0107117530394687
"STAB2",5.70338175292795e-05,0.000143103604025759,0.00643792702752292
"EDNRB",6.47248992270655e-05,8.94139971925077e-05,0.000310460476215414
"IL6",7.70675870998603e-07,1.303626742443e-05,0.0036329261439641
"SCN7A",0.00310914805797305,0.00678097961527887,4.09167898264898e-05
"HLX",0.000314473439075053,0.000606361349160133,0.00193948745354737
"IL10",0.00235282345452063,0.00337295117419618,0.0192215627251961
"GYPC",3.77360907942271e-11,2.96732762087093e-10,9.71745505824338e-06
"KLF4",6.63769812789064e-10,3.28252423592025e-09,2.060734631168e-05
"ANGPTL2",5.7423861392827e-05,6.94468391108688e-05,0.000362242584034102
"SLC31A2",0.00231550911598156,0.00390940227027548,0.0028305524181631
"TLR4",0.0323253104553325,0.0307814595049029,0.0248478714795377
"GARNL3",0.00246909418370975,0.00431802809248054,0.00207979970413578
"MYC",0.000214033261046873,0.000276415313251383,0.00239503893176185
"CCN3",0.0332050458011254,0.0457038703032614,0.00713261851894998
"IL33",1.9203718094011e-08,9.83699020860802e-08,0.000182447129398123
"POLR1E",3.71703249335139e-05,5.1180470766423e-05,0.000880192016087412
"TLN1",8.91513920454176e-07,5.56029276307589e-06,6.17853142810633e-05
"CCL21",3.70181666101406e-05,0.000113028382258879,0.000121277927705961
"DNAJB5",2.32891355756554e-05,7.04587421239179e-05,0.000102437171793294
"ALDH1B1",0.000228964515310806,0.000269385410607226,0.00261223669972258
"PIM1",0.00320969992359024,0.0036162262972739,0.0167495284226272
"FCHSD2",0.00281088453170821,0.00295434752386903,0.00303971916302255
"SLCO2B1",0.0167838089115986,0.0191368152292035,0.0262677732706807
"PRCP",0.0082767985123503,0.00843065979119786,0.0177658872076542
"SDCBP",0.0182620873336198,0.0203424046118693,0.0335331341033431
"NEK1",0.00731996169113894,0.00790772143688244,0.00558781049853038
"FXYD6",0.0296850658362312,0.0331047672995968,0.0320489490760897
"ARHGAP20",0.00140381985363855,0.0017898249234562,0.00348586055926317
"THBS1",0.000109121237779137,0.000287116174575251,0.00330432093024976
"UACA",0.00216508616942022,0.00200835282070806,0.0171618797734085
"CYP1B1",0.009367887760999,0.0113422889907928,0.00253476661541342
"EMILIN1",0.0189533030389245,0.0202830037179965,0.0120314040897994
"CH25H",0.00166266862265959,0.0024121073354462,0.00346998229728163
"DUSP5",0.00399199262078418,0.00541582693185967,0.0300659603874951
"CALHM2",0.00133729792905094,0.00185083736618512,0.0068219291591624
"RBP4",7.23318544198268e-07,1.11297281481299e-08,0.0130031994112424
"STAT4",0.0314990651728567,0.0365960303040634,0.0189065431271346
